match_id,season,match_datetime_utc,match_outcome_code,outcome_id,home_goal_diff_last_3,home_xg_diff_last_3,home_points_last_3,home_points_pct_last_3,home_rest_days_capped,away_goal_diff_last_3,away_xg_diff_last_3,away_points_last_3,away_points_pct_last_3,away_rest_days_capped,form_pct_diff_last5,form_diff_last5,rest_diff,rest_reset_flag_pair,match_day_index,match_day_of_year_norm,match_weekday_index,match_weekday_Friday,match_weekday_Monday,match_weekday_Saturday,match_weekday_Sunday,match_weekday_Thursday,match_weekday_Tuesday,match_weekday_Wednesday
18244,2022,2022-08-30 18:45:00,H,2,0.0,0.426002,4.0,0.4444444444444444,6.895833333333333,-2.0,-1.4759179999999996,4.0,0.4444444444444444,6.041666666666667,-0.25,-3.0,0.8541666666666661,0,25.0,0.6612021857923497,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18245,2022,2022-08-30 19:00:00,D,1,2.0,1.643978,4.0,0.4444444444444444,6.041666666666667,-1.0,-1.405385,2.0,0.2222222222222222,7.0,0.4166666666666667,5.0,-0.958333333333333,0,25.0,0.6612021857923497,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18246,2022,2022-08-31 18:30:00,H,2,6.0,5.321138,7.0,0.7777777777777778,5.9375,-1.0,-2.2737659999999997,4.0,0.4444444444444444,8.0625,0.5,6.0,-2.125,0,26.0,0.6639344262295082,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18247,2022,2022-08-31 18:30:00,H,2,6.0,5.3677589999999995,9.0,1.0,7.0,-2.0,-0.8456859999999996,3.0,0.3333333333333333,7.958333333333333,0.75,9.0,-0.958333333333333,0,26.0,0.6639344262295082,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18248,2022,2022-08-31 18:30:00,D,1,-16.0,-7.745528,0.0,0.0,6.895833333333333,-1.0,-1.693852,2.0,0.2222222222222222,8.0625,0.0833333333333333,1.0,-1.166666666666667,0,26.0,0.6639344262295082,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18249,2022,2022-08-31 18:45:00,D,1,-2.0,-0.913142,3.0,0.3333333333333333,7.0,3.0,2.170948,7.0,0.7777777777777778,8.166666666666666,-0.5833333333333334,-7.0,-1.166666666666666,0,26.0,0.6639344262295082,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18250,2022,2022-08-31 19:00:00,H,2,8.0,4.776009,4.0,0.4444444444444444,4.791666666666667,0.0,-2.084378,3.0,0.3333333333333333,6.895833333333333,-0.0833333333333333,-1.0,-2.104166666666666,0,26.0,0.6639344262295082,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18251,2022,2022-09-01 19:00:00,A,0,-4.0,-3.107553,0.0,0.0,7.0,-2.0,-0.0124619999999998,6.0,0.6666666666666666,4.6875,-0.4166666666666667,-5.0,2.3125,0,27.0,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18252,2022,2022-09-03 11:30:00,D,1,0.0,0.012885,3.0,0.3333333333333333,3.2083333333333335,9.0,5.302373000000001,6.0,0.6666666666666666,4.208333333333333,-0.3333333333333333,-5.0,-0.9999999999999996,0,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18254,2022,2022-09-03 14:00:00,A,0,-8.0,-5.266964,1.0,0.1111111111111111,3.125,-12.0,-7.349259000000001,1.0,0.1111111111111111,4.1875,0.0,0.0,-1.0625,0,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18255,2022,2022-09-03 14:00:00,H,2,3.0,1.6239329999999998,7.0,0.7777777777777778,3.1354166666666665,1.0,-0.925103,6.0,0.6666666666666666,3.0833333333333335,0.1999999999999999,3.0,0.052083333333333,0,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18253,2022,2022-09-03 14:00:00,D,1,-1.0,-1.7776240000000003,2.0,0.2222222222222222,3.25,0.0,-1.0264990000000005,4.0,0.4444444444444444,3.1875,0.0666666666666667,1.0,0.0625,0,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18257,2022,2022-09-03 14:00:00,H,2,-1.0,0.1641570000000001,2.0,0.2222222222222222,3.1875,2.0,0.9297179999999996,4.0,0.4444444444444444,3.2083333333333335,-0.1333333333333333,-2.0,-0.0208333333333334,0,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18260,2022,2022-09-03 14:00:00,H,2,-3.0,-1.6644479999999997,3.0,0.3333333333333333,3.1979166666666665,-1.0,-0.2283969999999997,4.0,0.4444444444444444,3.2395833333333335,0.2,3.0,-0.0416666666666669,0,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18256,2022,2022-09-03 14:00:00,H,2,-1.0,-0.4106720000000003,2.0,0.2222222222222222,3.2291666666666665,1.0,0.950042,6.0,0.6666666666666666,3.3020833333333335,-0.2666666666666666,-4.0,-0.0729166666666669,0,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18258,2022,2022-09-03 16:30:00,D,1,-4.0,-4.640117999999999,0.0,0.0,3.2291666666666665,8.0,6.862282,7.0,0.7777777777777778,4.1875,-0.6666666666666667,-10.0,-0.9583333333333336,0,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18259,2022,2022-09-04 13:00:00,H,2,2.0,2.201596,6.0,0.6666666666666666,3.1875,-3.0,-1.2719560000000003,0.0,0.0,5.208333333333333,0.6,9.0,-2.020833333333333,0,30.0,0.674863387978142,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18261,2022,2022-09-04 15:30:00,H,2,3.0,0.9637740000000002,9.0,1.0,5.3125,5.0,5.55028,9.0,1.0,4.083333333333333,-0.4,-6.0,1.229166666666667,0,30.0,0.674863387978142,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18272,2022,2022-09-16 19:00:00,H,2,-2.0,-4.174614,1.0,0.1111111111111111,2.9166666666666665,-1.0,0.05943,3.0,0.3333333333333333,3.8020833333333335,-0.2,-3.0,-0.885416666666667,0,42.0,0.7076502732240437,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18273,2022,2022-09-16 19:00:00,A,0,-9.0,-4.32729,0.0,0.0,2.8125,-1.0,-4.527597,3.0,0.3333333333333333,3.8125,-0.2,-3.0,-1.0,0,42.0,0.7076502732240437,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18274,2022,2022-09-17 11:30:00,A,0,1.0,0.2612949999999997,5.0,0.5555555555555556,2.8125,8.0,7.043200000000001,7.0,0.7777777777777778,2.9166666666666665,-0.3333333333333332,-5.0,-0.1041666666666665,0,43.0,0.7103825136612022,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18275,2022,2022-09-17 14:00:00,D,1,-1.0,1.6696209999999998,2.0,0.2222222222222222,2.7916666666666665,-8.0,-6.2736930000000015,4.0,0.4444444444444444,2.8125,0.0,0.0,-0.0208333333333334,0,43.0,0.7103825136612022,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18278,2022,2022-09-17 16:30:00,H,2,3.0,3.14065,7.0,0.7777777777777778,2.8020833333333335,-5.0,-1.9395240000000005,0.0,0.0,2.75,0.7333333333333333,11.0,0.0520833333333334,0,43.0,0.7103825136612022,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18280,2022,2022-09-18 11:00:00,A,0,3.0,2.422477,5.0,0.5555555555555556,3.8125,0.0,3.444145,6.0,0.6666666666666666,3.875,-0.2666666666666667,-4.0,-0.0625,0,44.0,0.7131147540983607,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18277,2022,2022-09-18 13:15:00,H,2,0.0,-0.4973599999999998,3.0,0.3333333333333333,3.6875,0.0,1.541686,4.0,0.4444444444444444,2.8020833333333335,0.0,0.0,0.8854166666666665,0,44.0,0.7131147540983607,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18282,2022,2022-10-01 11:30:00,H,2,2.0,2.675982,6.0,0.6666666666666666,13.8125,5.0,1.888989,7.0,0.7777777777777778,14.104166666666666,-0.0666666666666666,-1.0,-0.2916666666666661,0,57.0,0.7486338797814208,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18283,2022,2022-10-01 14:00:00,D,1,1.0,-2.1649659999999997,5.0,0.5555555555555556,14.0,0.0,1.0131169999999998,4.0,0.4444444444444444,14.875,0.0,0.0,-0.875,0,57.0,0.7486338797814208,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18285,2022,2022-10-01 14:00:00,A,0,1.0,-3.0451440000000005,6.0,0.6666666666666666,13.208333333333334,-1.0,1.439113,2.0,0.2222222222222222,14.0,0.3333333333333333,5.0,-0.7916666666666661,0,57.0,0.7486338797814208,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18288,2022,2022-10-01 14:00:00,D,1,10.0,5.791483000000001,7.0,0.7777777777777778,2.6875,3.0,2.80995,6.0,0.6666666666666666,4.770833333333333,-0.1333333333333333,-2.0,-2.083333333333333,0,57.0,0.7486338797814208,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18284,2022,2022-10-01 14:00:00,A,0,-2.0,-5.120165999999999,2.0,0.2222222222222222,3.8125,1.0,-0.859497,6.0,0.6666666666666666,3.8020833333333335,-0.0666666666666666,-1.0,0.0104166666666665,0,57.0,0.7486338797814208,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18290,2022,2022-10-01 14:00:00,A,0,-1.0,-1.081198,3.0,0.3333333333333333,13.208333333333334,1.0,-0.1257209999999997,5.0,0.5555555555555556,15.072916666666666,-0.0666666666666666,-1.0,-1.864583333333332,0,57.0,0.7486338797814208,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18291,2022,2022-10-01 16:30:00,H,2,-2.0,1.7692730000000003,1.0,0.1111111111111111,14.96875,-2.0,-0.0507699999999999,4.0,0.4444444444444444,13.895833333333334,-0.0666666666666666,-1.0,1.072916666666666,0,57.0,0.7486338797814208,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18289,2022,2022-10-02 13:00:00,H,2,9.0,5.863080999999999,7.0,0.7777777777777778,13.791666666666666,4.0,1.0758040000000002,9.0,1.0,2.8541666666666665,-0.0666666666666667,-1.0,10.9375,0,58.0,0.7513661202185792,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18286,2022,2022-10-02 15:30:00,D,1,-4.0,-1.54,1.0,0.1111111111111111,3.7916666666666665,0.0,-3.0192320000000006,4.0,0.4444444444444444,13.104166666666666,0.0666666666666666,1.0,-9.3125,0,58.0,0.7513661202185792,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18287,2022,2022-10-03 19:00:00,H,2,-8.0,-2.542294,0.0,0.0,13.145833333333334,-8.0,-2.618119,0.0,0.0,13.208333333333334,-0.0666666666666666,-1.0,-0.0625,0,59.0,0.7540983606557377,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18293,2022,2022-10-08 14:00:00,H,2,1.0,-1.282413,5.0,0.5555555555555556,14.0,-3.0,-2.02986,3.0,0.3333333333333333,16.104166666666668,0.2,3.0,-2.104166666666668,0,64.0,0.76775956284153,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18295,2022,2022-10-08 14:00:00,H,2,1.0,-0.103237,6.0,0.6666666666666666,28.0,-4.0,-1.6845469999999998,3.0,0.3333333333333333,14.208333333333334,0.2666666666666666,4.0,13.791666666666666,0,64.0,0.76775956284153,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18298,2022,2022-10-08 14:00:00,H,2,6.0,4.052923,7.0,0.7777777777777778,15.0625,-3.0,-1.057538,0.0,0.0,14.791666666666666,0.6666666666666667,10.0,0.2708333333333339,0,64.0,0.76775956284153,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
