,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
Dane Scarlett,"€ 8,493","€ 441,627","€ 441,627",F,20,England,Tottenham
Alfie Whiteman,"€ 8,493","€ 441,627","€ 441,627",K,26,England,Tottenham
Taylor Harwood-Bellis,"€ 8,493","€ 441,627","€ 441,627",D,23,England,Southampton
Lewis Dobbin,"€ 8,493","€ 441,627","€ 441,627",F,22,England,Aston Villa
João Virgínia,"€ 8,493","€ 441,627","€ 441,627",K,25,Portugal,Everton
Remi Matthews,"€ 8,493","€ 441,627","€ 441,627",K,31,England,Crystal Palace
Rhys Williams,"€ 8,493","€ 441,627","€ 441,627",D,24,England,Liverpool
Tyrique George,"€ 8,493","€ 441,627","€ 441,627",F,19,England,Chelsea
Luke Mbete,"€ 8,493","€ 441,627","€ 441,627",D,21,England,Manchester City
Tayo Adaramola,"€ 8,493","€ 441,627","€ 441,627",D,21,Ireland,Crystal Palace
Lucas Bergström,"€ 8,493","€ 441,627","€ 441,627",K,22,Finland,Chelsea
Shea Charles,"€ 7,927","€ 412,185","€ 412,185",M,21,Northern Ireland,Southampton
Vitezslav Jaros,"€ 7,927","€ 412,185","€ 412,185",K,23,Czech Republic,Liverpool
Ethan Nwaneri,"€ 6,794","€ 353,301","€ 353,301",F,17,England,Arsenal
Ellery Balcombe,"€ 6,794","€ 353,301","€ 353,301",K,25,England,Brentford
Joe Gauci,"€ 6,794","€ 353,301","€ 353,301",K,24,Australia,Aston Villa
Joe Hodge,"€ 6,794","€ 353,301","€ 353,301",M,22,Ireland,Wolverhampton
Lino Sousa,"€ 6,794","€ 353,301","€ 353,301",D,20,England,Aston Villa
Leo Castledine,"€ 6,794","€ 353,301","€ 353,301",F,19,England,Chelsea
Nathan Broadhead,"€ 6,794","€ 353,301","€ 353,301",F,26,Wales,Ipswich Town
Jahmai Simpson-Pusey,"€ 6,794","€ 353,301","€ 353,301",D,19,England,Manchester City
Omari Hutchinson,"€ 6,794","€ 353,301","€ 353,301",F,21,England,Ipswich Town
Joe Whitworth,"€ 6,794","€ 353,301","€ 353,301",K,20,England,Crystal Palace
Joe Hugill,"€ 6,228","€ 323,860","€ 323,860",F,21,England,Manchester United
Daniel Jebbison,"€ 5,662","€ 294,418","€ 294,418",F,21,Canada,Bournemouth
Louie Moulden,"€ 5,662","€ 294,418","€ 294,418",K,22,England,Crystal Palace
James Hill,"€ 5,662","€ 294,418","€ 294,418",D,23,England,Bournemouth
Tyler Dibling,"€ 5,662","€ 294,418","€ 294,418",F,18,England,Southampton
Joe Rothwell,"€ 5,662","€ 294,418","€ 294,418",M,30,England,Bournemouth
Caleb Kporha,"€ 5,662","€ 294,418","€ 294,418",D,18,England,Crystal Palace
Mark Travers,"€ 5,662","€ 294,418","€ 294,418",K,25,Ireland,Bournemouth
Callum Marshall,"€ 5,662","€ 294,418","€ 294,418",F,20,Northern Ireland,West Ham
Josh Bowler,"€ 5,662","€ 294,418","€ 294,418",F,25,England,Nottingham Forest
Harry Clarke,"€ 5,662","€ 294,418","€ 294,418",D,23,England,Ipswich Town
Josh Acheampong,"€ 5,662","€ 294,418","€ 294,418",D,18,England,Chelsea
Ashley Phillips,"€ 5,662","€ 294,418","€ 294,418",D,19,England,Tottenham
Harry Amass,"€ 5,662","€ 294,418","€ 294,418",D,17,England,Manchester United
Ji-soo Kim,"€ 5,662","€ 294,418","€ 294,418",D,20,South Korea,Brentford
Carl Rushworth,"€ 5,662","€ 294,418","€ 294,418",K,23,England,Brighton
Gavin Bazunu,"€ 5,662","€ 294,418","€ 294,418",K,22,Ireland,Southampton
Ed Turns,"€ 5,662","€ 294,418","€ 294,418",D,21,Wales,Brighton
Min-hyeok Yang,"€ 5,662","€ 294,418","€ 294,418",F,18,South Korea,Tottenham
Jeremy Sarmiento,"€ 5,662","€ 294,418","€ 294,418",F,22,Ecuador,Brighton
Nigel Lonwijk,"€ 5,662","€ 294,418","€ 294,418",D,22,Netherlands,Wolverhampton
Mikey Moore,"€ 5,662","€ 294,418","€ 294,418",F,17,England,Tottenham
Calvin Ramsay,"€ 5,662","€ 294,418","€ 294,418",D,21,Scotland,Liverpool
Garang Kuol,"€ 5,662","€ 294,418","€ 294,418",F,19,Australia,Newcastle
Tyler Fredricson,"€ 5,662","€ 294,418","€ 294,418",D,20,England,Manchester United
Luke Harris,"€ 5,662","€ 294,418","€ 294,418",F,19,Wales,Fulham
Samuel Amo-Ameyaw,"€ 5,662","€ 294,418","€ 294,418",F,18,England,Southampton
Toby Collyer,"€ 4,530","€ 235,534","€ 235,534",M,21,England,Manchester United
Ayden Heaven,"€ 4,530","€ 235,534","€ 235,534",D,18,England,Manchester United
Billy Crellin,"€ 4,530","€ 235,534","€ 235,534",K,24,England,Everton
Myles Lewis-Skelly,"€ 4,530","€ 235,534","€ 235,534",D,18,England,Arsenal
Matthew Cox,"€ 4,530","€ 235,534","€ 235,534",K,21,England,Brentford
Matai Akinmboni,"€ 4,530","€ 235,534","€ 235,534",D,18,United States,Bournemouth
Mahamadou Susoho,"€ 4,530","€ 235,534","€ 235,534",M,20,Spain,Manchester City
Jonathan Panzo,"€ 4,530","€ 235,534","€ 235,534",D,24,England,Nottingham Forest
Luke Plange,"€ 4,530","€ 235,534","€ 235,534",F,22,England,Crystal Palace
Filip Marschall,"€ 4,303","€ 223,757","€ 223,757",K,21,England,Aston Villa
Teddy Sharman-Lowe,"€ 4,303","€ 223,757","€ 223,757",K,21,England,Chelsea
Jimmy-Jay Morgan,"€ 3,963","€ 206,092","€ 206,092",F,19,England,Chelsea
Louie Barry,"€ 3,397","€ 176,651","€ 176,651",F,21,England,Aston Villa
Cameron Humphreys,"€ 3,397","€ 176,651","€ 176,651",M,21,England,Ipswich Town
Ali Al-Hamadi,"€ 3,397","€ 176,651","€ 176,651",F,22,Iraq,Ipswich Town
Marcus Harness,"€ 3,397","€ 176,651","€ 176,651",F,28,Ireland,Ipswich Town
Zach Abbott,"€ 3,397","€ 176,651","€ 176,651",D,18,England,Nottingham Forest
Stefanos Tzimas,"€ 3,397","€ 176,651","€ 176,651",F,19,Greece,Brighton
Josh Feeney,"€ 3,397","€ 176,651","€ 176,651",D,19,England,Aston Villa
Harrison Ashby,"€ 3,397","€ 176,651","€ 176,651",D,23,Scotland,Newcastle
Harvey Davies,"€ 3,397","€ 176,651","€ 176,651",K,21,England,Liverpool
Samy Chouchane,"€ 3,397","€ 176,651","€ 176,651",M,21,Tunisia,Brighton
Dom Ballard,"€ 3,397","€ 176,651","€ 176,651",F,19,England,Southampton
Amario Cozier-Duberry,"€ 3,397","€ 176,651","€ 176,651",F,19,England,Brighton
Martial Godo,"€ 3,397","€ 176,651","€ 176,651",F,21,England,Fulham
Dexter Lembikisa,"€ 3,397","€ 176,651","€ 176,651",D,21,Jamaica,Wolverhampton
Jamie Donley,"€ 3,397","€ 176,651","€ 176,651",F,20,England,Tottenham
Alfie Gilchrist,"€ 3,397","€ 176,651","€ 176,651",D,21,England,Chelsea
Killian Cahill,"€ 3,397","€ 176,651","€ 176,651",K,20,Ireland,Brighton
Paris Maghoma,"€ 3,397","€ 176,651","€ 176,651",M,23,England,Brentford
Kaden Rodney,"€ 3,397","€ 176,651","€ 176,651",M,20,England,Crystal Palace
Imari Samuels,"€ 3,397","€ 176,651","€ 176,651",D,21,England,Brighton
Justin Devenny,"€ 3,397","€ 176,651","€ 176,651",M,21,Northern Ireland,Crystal Palace
Will Dennis,"€ 3,397","€ 176,651","€ 176,651",K,24,England,Bournemouth
Callum Doyle,"€ 3,397","€ 176,651","€ 176,651",D,21,England,Manchester City
Kaine Kesler,"€ 3,397","€ 176,651","€ 176,651",D,22,England,Aston Villa
Cieran Slicker,"€ 3,397","€ 176,651","€ 176,651",K,22,Scotland,Ipswich Town
Chem Campbell,"€ 3,397","€ 176,651","€ 176,651",F,22,Wales,Wolverhampton
Kaide Gordon,"€ 2,831","€ 147,209","€ 147,209",F,20,England,Liverpool
Finley Burns,"€ 2,831","€ 147,209","€ 147,209",D,21,England,Manchester City
Ben Nelson,"€ 2,831","€ 147,209","€ 147,209",D,20,England,Leicester
Jesurun Rak-Sakyi,"€ 2,831","€ 147,209","€ 147,209",F,22,England,Crystal Palace
Alex Matos,"€ 2,831","€ 147,209","€ 147,209",M,20,England,Chelsea
Ryan Trevitt,"€ 2,831","€ 147,209","€ 147,209",M,21,England,Brentford
Will Lankshear,"€ 2,831","€ 147,209","€ 147,209",F,19,England,Tottenham
Kaelan Casey,"€ 2,831","€ 147,209","€ 147,209",D,20,England,West Ham
Nathan Fraser,"€ 2,831","€ 147,209","€ 147,209",F,19,Ireland,Wolverhampton
Val Adedokun,"€ 2,548","€ 132,488","€ 132,488",D,21,Ireland,Brentford
Luca Barrington,"€ 2,548","€ 132,488","€ 132,488",F,20,England,Brighton
Dominic Corness,"€ 2,548","€ 132,488","€ 132,488",M,21,England,Liverpool
Josh King,"€ 2,265","€ 117,767","€ 117,767",M,18,England,Fulham
Odeluga Offiah,"€ 2,265","€ 117,767","€ 117,767",D,22,England,Brighton
Franco Umeh-Chibueze,"€ 2,265","€ 117,767","€ 117,767",F,20,Ireland,Crystal Palace
Joe White,"€ 2,265","€ 117,767","€ 117,767",F,22,England,Newcastle
Kamari Doyle,"€ 2,265","€ 117,767","€ 117,767",F,19,England,Brighton
Dylan Williams,"€ 2,265","€ 117,767","€ 117,767",D,21,England,Chelsea
Jadel Katongo,"€ 2,265","€ 117,767","€ 117,767",D,20,England,Manchester City
Silko Thomas,"€ 2,265","€ 117,767","€ 117,767",F,20,England,Leicester
Caleb Wiley,"€ 2,265","€ 117,767","€ 117,767",D,20,United States,Chelsea
Max Kinsey,"€ 2,265","€ 117,767","€ 117,767",D,20,England,Bournemouth
Will Dickson,"€ 2,038","€ 105,990","€ 105,990",F,20,England,Manchester City
Alex Murphy,"€ 2,038","€ 105,990","€ 105,990",D,20,Ireland,Newcastle
Rhys Bennett,"€ 1,982","€ 103,046","€ 103,046",D,21,England,Manchester United
Freddie Potts,"€ 1,699","€ 88,325","€ 88,325",M,21,England,West Ham
Owen Goodman,"€ 1,699","€ 88,325","€ 88,325",K,21,England,Crystal Palace
Mohamadou Kanté,"€ 1,699","€ 88,325","€ 88,325",M,19,France,West Ham
Travis Patterson,"€ 1,699","€ 88,325","€ 88,325",D,19,England,Aston Villa
Francis Okoronkwo,"€ 1,699","€ 88,325","€ 88,325",F,20,England,Everton
Dale Taylor,"€ 1,699","€ 88,325","€ 88,325",F,21,Northern Ireland,Nottingham Forest
Patrick Kelly,"€ 1,132","€ 58,884","€ 58,884",M,20,Northern Ireland,West Ham
Max Thompson,"€ 1,132","€ 58,884","€ 58,884",K,20,England,Newcastle
Charlie McArthur,"€ 1,132","€ 58,884","€ 58,884",D,19,Scotland,Newcastle
Sam Mather,"€ 1,132","€ 58,884","€ 58,884",F,20,England,Manchester United
George Abbott,€ 849,"€ 44,163","€ 44,163",M,19,England,Tottenham
Rico Richards,€ 849,"€ 44,163","€ 44,163",F,21,England,Aston Villa
Kobei Moore,€ 679,"€ 35,330","€ 35,330",F,20,England,Aston Villa
Luca Stephenson,€ 453,"€ 23,553","€ 23,553",M,21,England,Liverpool
Asher Agbinone,€ 0,€ 0,€ 0,F,19,England,Crystal Palace
Danny Imray,€ 0,€ 0,€ 0,M,21,England,Crystal Palace
Ben Perry,€ 0,€ 0,€ 0,M,20,England,Nottingham Forest
Karl Hein,€ 0,€ 0,€ 0,K,22,Estonia,Arsenal
David Ozoh,€ 0,€ 0,€ 0,M,19,England,Crystal Palace
Jemiah Umolu,€ 0,€ 0,€ 0,F,19,England,Crystal Palace
Elijah Campbell,€ 0,€ 0,€ 0,D,20,England,Everton
Sil Swinkels,€ 0,€ 0,€ 0,D,21,Netherlands,Aston Villa
Harrison Armstrong,€ 0,€ 0,€ 0,M,18,England,Everton
Harry Tyrer,€ 0,€ 0,€ 0,K,23,England,Everton
Jenson Metcalfe,€ 0,€ 0,€ 0,M,20,England,Everton
Neal Maupay,€ 0,€ 0,€ 0,F,28,France,Everton
Chiquinho,€ 0,€ 0,€ 0,F,25,Portugal,Wolverhampton
Harvey Araujo,€ 0,€ 0,€ 0,D,20,England,Fulham
Sonny Aljofree,€ 0,€ 0,€ 0,D,20,England,Manchester United
Finn Ashworth,€ 0,€ 0,€ 0,F,19,Wales,Wolverhampton
Oliver Sanderson,€ 0,€ 0,€ 0,F,21,England,Fulham
Louis Jackson,€ 0,€ 0,€ 0,D,19,Scotland,Manchester United
Fábio Vieira,€ 0,€ 0,€ 0,F,24,Portugal,Arsenal
Maldini Kacurri,€ 0,€ 0,€ 0,D,19,Albania,Arsenal
Elkan Baggott,€ 0,€ 0,€ 0,D,22,Indonesia,Ipswich Town
Ethan Williams,€ 0,€ 0,€ 0,F,19,England,Manchester United
Kadan Young,€ 0,€ 0,€ 0,F,19,England,Aston Villa
Ethan Ennis,€ 0,€ 0,€ 0,F,20,England,Manchester United
Daniel Gore,€ 0,€ 0,€ 0,M,20,England,Manchester United
Brandon Cover,€ 0,€ 0,€ 0,M,21,Jamaica,Leicester
Marvin Kaleta,€ 0,€ 0,€ 0,D,20,Democratic Republic of the Congo,Wolverhampton
Chris Popov,€ 0,€ 0,€ 0,F,20,Wales,Leicester
Máximo Perrone,€ 0,€ 0,€ 0,M,21,Argentina,Manchester City
Lewis Koumas,€ 0,€ 0,€ 0,F,19,Wales,Liverpool
Will Alves,€ 0,€ 0,€ 0,F,19,England,Leicester
Alfie Dorrington,€ 0,€ 0,€ 0,D,19,England,Tottenham
Álex Moreno,€ 0,€ 0,€ 0,D,31,Spain,Aston Villa
Kalvin Phillips,€ 0,€ 0,€ 0,M,28,England,Manchester City
Nuno Tavares,€ 0,€ 0,€ 0,D,24,Portugal,Arsenal
Juma Bah,€ 0,€ 0,€ 0,D,18,Sierra Leone,Manchester City
Josh Wilson-Esbrand,€ 0,€ 0,€ 0,D,22,England,Manchester City
Calum Scanlon,€ 0,€ 0,€ 0,D,19,England,Liverpool
Issa Kabore,€ 0,€ 0,€ 0,D,23,Burkina Faso,Manchester City
Caylan Vickers,€ 0,€ 0,€ 0,F,20,England,Brighton
Bryan Gil,€ 0,€ 0,€ 0,F,23,Spain,Tottenham
Andrew Moran,€ 0,€ 0,€ 0,F,21,Ireland,Brighton
Kyle Walker,€ 0,€ 0,€ 0,D,34,England,Manchester City
Abdallah Sima,€ 0,€ 0,€ 0,F,23,Senegal,Brighton
Alfie Devine,€ 0,€ 0,€ 0,F,20,England,Tottenham
Alejo Veliz,€ 0,€ 0,€ 0,F,21,Argentina,Tottenham
Josh Keeley,€ 0,€ 0,€ 0,K,21,Ireland,Tottenham
Albert Sambi Lokonga,€ 0,€ 0,€ 0,M,24,Belgium,Arsenal
Samuel Edozie,€ 0,€ 0,€ 0,F,22,England,Southampton
James Beadle,€ 0,€ 0,€ 0,K,20,England,Brighton
Matthew Craig,€ 0,€ 0,€ 0,M,21,Scotland,Tottenham
Tony Yogane,€ 0,€ 0,€ 0,F,19,England,Brentford
Nico Lawrence,€ 0,€ 0,€ 0,D,21,England,Southampton
Juan,€ 0,€ 0,€ 0,F,22,Brazil,Southampton
Luke Chambers,€ 0,€ 0,€ 0,D,20,England,Liverpool
Pierre-Emile Højbjerg,€ 0,€ 0,€ 0,M,28,Denmark,Tottenham
Joe O'Brien-Whitmarsh,€ 0,€ 0,€ 0,M,19,Ireland,Southampton
Myles Peart-Harris,€ 0,€ 0,€ 0,F,22,Jamaica,Brentford
Mark O'Mahony,€ 0,€ 0,€ 0,F,20,Ireland,Brighton
Ben Brereton,€ 0,€ 0,€ 0,F,25,Chile,Southampton
Tawanda Chirewa,€ 0,€ 0,€ 0,F,21,Zimbabwe,Wolverhampton
Frank Onyeka,€ 0,€ 0,€ 0,M,27,Nigeria,Brentford
Joe Gardner,€ 0,€ 0,€ 0,F,19,England,Nottingham Forest
Jamie McDonnell,€ 0,€ 0,€ 0,M,20,Northern Ireland,Nottingham Forest
Renato Veiga,€ 0,€ 0,€ 0,D,21,Portugal,Chelsea
Ashley Hay,€ 0,€ 0,€ 0,F,21,England,Brentford
Zak Sturge,€ 0,€ 0,€ 0,D,20,England,Chelsea
Romain Faivre,€ 0,€ 0,€ 0,M,26,France,Bournemouth
Philip Billing,€ 0,€ 0,€ 0,M,28,Denmark,Bournemouth
George Earthy,€ 0,€ 0,€ 0,F,20,England,West Ham
Gideon Kodua,€ 0,€ 0,€ 0,F,20,England,West Ham
Detlef Esapa Osong,€ 0,€ 0,€ 0,F,20,England,Nottingham Forest
