,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
Ryan Christie,"€ 79,266","€ 4,121,848","€ 4,121,848",F,28,Scotland,Bournemouth
Hee-chan Hwang,"€ 79,266","€ 4,121,848","€ 4,121,848",F,28,South Korea,Wolverhampton
Pablo Fornals,"€ 73,604","€ 3,827,431","€ 3,827,431",F,27,Spain,West Ham
Luis Sinisterra,"€ 73,604","€ 3,827,431","€ 3,827,431",F,24,Colombia,Bournemouth
Maxwel Cornet,"€ 73,604","€ 3,827,431","€ 3,827,431",F,27,Cote d'Ivoire,West Ham
Lukasz Fabianski,"€ 73,604","€ 3,827,431","€ 3,827,431",K,38,Poland,West Ham
Jonny Evans,"€ 73,604","€ 3,827,431","€ 3,827,431",D,36,Northern Ireland,Manchester United
Pascal Groß,"€ 73,604","€ 3,827,431","€ 3,827,431",M,32,Germany,Brighton
Adama Traoré,"€ 73,604","€ 3,827,431","€ 3,827,431",F,28,Spain,Fulham
Timothy Castagne,"€ 73,604","€ 3,827,431","€ 3,827,431",D,28,Belgium,Fulham
Sofyan Amrabat,"€ 73,604","€ 3,827,431","€ 3,827,431",M,27,Morocco,Manchester United
Nicolas Jackson,"€ 73,604","€ 3,827,431","€ 3,827,431",F,22,Senegal,Chelsea
Sasa Lukic,"€ 71,340","€ 3,709,663","€ 3,709,663",M,27,Serbia,Fulham
Scott McTominay,"€ 67,943","€ 3,533,013","€ 3,533,013",M,27,Scotland,Manchester United
Matheus Cunha,"€ 67,943","€ 3,533,013","€ 3,533,013",F,24,Brazil,Wolverhampton
Miguel Almirón,"€ 67,943","€ 3,533,013","€ 3,533,013",F,29,Paraguay,Newcastle
Nick Pope,"€ 67,943","€ 3,533,013","€ 3,533,013",K,31,England,Newcastle
Manor Solomon,"€ 67,943","€ 3,533,013","€ 3,533,013",F,24,Israel,Tottenham
Danny Welbeck,"€ 67,943","€ 3,533,013","€ 3,533,013",F,33,England,Brighton
Robert Sánchez,"€ 67,943","€ 3,533,013","€ 3,533,013",K,26,Spain,Chelsea
José Sá,"€ 67,943","€ 3,533,013","€ 3,533,013",K,31,Portugal,Wolverhampton
Daniel Podence,"€ 67,943","€ 3,533,013","€ 3,533,013",F,27,Portugal,Wolverhampton
Adrián,"€ 67,943","€ 3,533,013","€ 3,533,013",K,37,Spain,Liverpool
Tyler Adams,"€ 67,943","€ 3,533,013","€ 3,533,013",M,24,United States,Bournemouth
James Milner,"€ 67,943","€ 3,533,013","€ 3,533,013",M,38,England,Brighton
Anthony Gordon,"€ 67,943","€ 3,533,013","€ 3,533,013",F,22,England,Newcastle
Nicolò Zaniolo,"€ 67,943","€ 3,533,013","€ 3,533,013",F,24,Italy,Aston Villa
Jeffrey Schlupp,"€ 67,943","€ 3,533,013","€ 3,533,013",M,31,Ghana,Crystal Palace
Jakub Kiwior,"€ 65,678","€ 3,415,246","€ 3,415,246",D,23,Poland,Arsenal
Vitaliy Mykolenko,"€ 65,678","€ 3,415,246","€ 3,415,246",D,24,Ukraine,Everton
Boubacar Traoré,"€ 62,281","€ 3,238,595","€ 3,238,595",M,22,Mali,Wolverhampton
Chris Richards,"€ 62,281","€ 3,238,595","€ 3,238,595",D,23,United States,Crystal Palace
Evan Ferguson,"€ 62,281","€ 3,238,595","€ 3,238,595",F,19,Ireland,Brighton
Saïd Benrahma,"€ 62,281","€ 3,238,595","€ 3,238,595",F,28,Algeria,West Ham
Ryan Sessegnon,"€ 62,281","€ 3,238,595","€ 3,238,595",M,23,England,Tottenham
Mohamed Elneny,"€ 62,281","€ 3,238,595","€ 3,238,595",M,31,Egypt,Arsenal
Jairo Riedewald,"€ 62,281","€ 3,238,595","€ 3,238,595",M,27,Netherlands,Crystal Palace
Yves Bissouma,"€ 62,281","€ 3,238,595","€ 3,238,595",M,27,Mali,Tottenham
Adam Webster,"€ 62,281","€ 3,238,595","€ 3,238,595",D,29,England,Brighton
Ben Mee,"€ 62,281","€ 3,238,595","€ 3,238,595",D,34,England,Brentford
Mahmoud Dahoud,"€ 62,281","€ 3,238,595","€ 3,238,595",M,27,Germany,Brighton
Emil Krafth,"€ 62,281","€ 3,238,595","€ 3,238,595",D,29,Sweden,Newcastle
Seamus Coleman,"€ 62,281","€ 3,238,595","€ 3,238,595",D,35,Ireland,Everton
Luis Díaz,"€ 62,281","€ 3,238,595","€ 3,238,595",F,27,Colombia,Liverpool
Dan Burn,"€ 62,281","€ 3,238,595","€ 3,238,595",D,31,England,Newcastle
Sergio Reguilón,"€ 60,016","€ 3,120,828","€ 3,120,828",D,27,Spain,Brentford
Sergio Reguilón,"€ 60,016","€ 3,120,828","€ 3,120,828",D,26,Spain,Manchester United
Arnaut Danjuma,"€ 59,450","€ 3,091,386","€ 3,091,386",F,27,Netherlands,Everton
Sergio Gómez,"€ 56,619","€ 2,944,177","€ 2,944,177",D,23,Spain,Manchester City
Calum Chambers,"€ 56,619","€ 2,944,177","€ 2,944,177",D,29,England,Aston Villa
Robin Olsen,"€ 56,619","€ 2,944,177","€ 2,944,177",K,34,Sweden,Aston Villa
David Brooks,"€ 56,619","€ 2,944,177","€ 2,944,177",F,26,Wales,Bournemouth
Marcos Senesi,"€ 56,619","€ 2,944,177","€ 2,944,177",D,26,Argentina,Bournemouth
Neto,"€ 56,619","€ 2,944,177","€ 2,944,177",K,34,Brazil,Bournemouth
Mathias Jensen,"€ 56,619","€ 2,944,177","€ 2,944,177",M,28,Denmark,Brentford
Neal Maupay,"€ 56,619","€ 2,944,177","€ 2,944,177",F,27,France,Brentford
Jan Paul van Hecke,"€ 56,619","€ 2,944,177","€ 2,944,177",D,23,Netherlands,Brighton
João Pedro,"€ 56,619","€ 2,944,177","€ 2,944,177",F,22,Brazil,Brighton
Joël Veltman,"€ 56,619","€ 2,944,177","€ 2,944,177",D,32,Netherlands,Brighton
Pervis Estupiñán,"€ 56,619","€ 2,944,177","€ 2,944,177",D,26,Ecuador,Brighton
Solly March,"€ 56,619","€ 2,944,177","€ 2,944,177",F,29,England,Brighton
Conor Gallagher,"€ 56,619","€ 2,944,177","€ 2,944,177",M,23,England,Chelsea
Noni Madueke,"€ 56,619","€ 2,944,177","€ 2,944,177",F,21,England,Chelsea
Trevoh Chalobah,"€ 56,619","€ 2,944,177","€ 2,944,177",D,24,England,Chelsea
James Tomkins,"€ 56,619","€ 2,944,177","€ 2,944,177",D,34,England,Crystal Palace
